number,duration,params_learning_rate,params_max_depth,params_n_estimators
0,0 days 00:00:07.397085,0.2417391940386152,5,387
1,0 days 00:00:07.001775,0.036474706684991046,6,236
2,0 days 00:00:06.174005,0.014225815679453047,5,257
3,0 days 00:00:05.983415,0.315750841656055,5,340
4,0 days 00:00:09.785981,0.10712787234644368,5,515
5,0 days 00:00:08.675862,0.012222832982008552,3,848
6,0 days 00:00:02.268652,0.12405336609221962,2,238
7,0 days 00:00:05.840660,0.03143351081147288,6,229
8,0 days 00:00:06.689625,0.42591433363821773,4,468
9,0 days 00:00:03.064807,0.016001377609619748,2,291
10,0 days 00:00:11.115690,0.37545096457055166,6,520
11,0 days 00:00:11.427728,0.10583508724673048,6,452
12,0 days 00:00:15.028671,0.07898474036938723,6,625
13,0 days 00:00:10.572974,0.12682972000756032,4,854
14,0 days 00:00:04.954587,0.05377267067406087,4,365
15,0 days 00:00:06.031492,0.1045921951459205,3,607
16,0 days 00:00:04.060729,0.05577191106924445,4,293
17,0 days 00:00:06.483747,0.1200808224892378,4,430
18,0 days 00:00:03.170642,0.05349640803090974,2,365
19,0 days 00:00:06.176526,0.013174934597527993,3,526
20,0 days 00:00:21.226938,0.014218693601691644,6,993
21,0 days 00:00:07.212232,0.013964159390361141,6,279
22,0 days 00:00:04.737545,0.22342977568935987,3,447
23,0 days 00:00:11.178618,0.18724461779483756,3,929
24,0 days 00:00:06.230591,0.10332681287096733,6,296
25,0 days 00:00:08.217857,0.07651700670667125,5,501
26,0 days 00:00:07.099418,0.030103626962244393,3,801
27,0 days 00:00:16.019847,0.10251369056857987,6,744
28,0 days 00:00:02.417625,0.029865917978334242,2,358
29,0 days 00:00:06.330137,0.12357168768348685,6,294
30,0 days 00:00:06.649369,0.2710707561486773,4,406
31,0 days 00:00:04.712098,0.16177612541065944,2,466
32,0 days 00:00:16.212676,0.1270684664841994,5,899
33,0 days 00:00:03.240736,0.01967421788965314,2,354
34,0 days 00:00:13.683146,0.04527784942108609,6,653
35,0 days 00:00:18.168179,0.028430521220845457,5,999
36,0 days 00:00:13.172867,0.023826457393688504,6,592
37,0 days 00:00:11.231677,0.07738454114898916,5,578
38,0 days 00:00:02.692064,0.021120414448590873,2,208
39,0 days 00:00:16.882474,0.01948520532888833,5,908
40,0 days 00:00:05.699249,0.010069577086487713,4,328
41,0 days 00:00:02.582692,0.3568490092680101,2,241
42,0 days 00:00:08.518308,0.03604107071879325,4,533
43,0 days 00:00:05.093265,0.092077569652701,2,650
44,0 days 00:00:02.135304,0.09285807877562333,2,203
45,0 days 00:00:06.024183,0.2673397215843802,3,543
46,0 days 00:00:04.882633,0.04316801812713958,2,642
47,0 days 00:00:05.587214,0.013939308130323558,5,254
48,0 days 00:00:04.273397,0.027960784485909846,2,547
49,0 days 00:00:08.831127,0.015695368888195012,5,412
50,0 days 00:00:11.882255,0.07798838124838352,6,532
51,0 days 00:00:12.698833,0.010788388875043969,4,875
52,0 days 00:00:05.602855,0.039612105632469516,2,603
53,0 days 00:00:06.367002,0.11182410439260795,4,474
54,0 days 00:00:05.446384,0.14220023996989548,5,283
55,0 days 00:00:03.210767,0.07179345745117528,2,509
56,0 days 00:00:04.860443,0.08735300776762987,4,285
57,0 days 00:00:02.883397,0.025064648980183294,3,212
58,0 days 00:00:05.512458,0.017324119243335042,3,420
59,0 days 00:00:15.874571,0.011199008216163172,6,694
60,0 days 00:00:05.093965,0.04334507183255144,5,301
61,0 days 00:00:04.084242,0.11639349951124352,4,261
62,0 days 00:00:10.115298,0.04373822310069973,6,392
63,0 days 00:00:13.287025,0.3297677457408298,6,528
64,0 days 00:00:09.826486,0.012569728454876573,6,430
65,0 days 00:00:05.365108,0.09741301998724847,2,793
66,0 days 00:00:06.035656,0.1125361556094647,3,594
67,0 days 00:00:06.624005,0.013929339463455835,6,278
68,0 days 00:00:03.200870,0.01957153685930103,3,250
69,0 days 00:00:03.114924,0.07835069877383675,2,315
70,0 days 00:00:19.440908,0.4448140412840306,6,868
71,0 days 00:00:03.333314,0.1477565526267585,3,373
72,0 days 00:00:07.562505,0.038641120449193926,2,838
73,0 days 00:00:03.029034,0.012540723951065176,2,326
74,0 days 00:00:15.545245,0.023341285964581918,5,851
75,0 days 00:00:05.559142,0.22580617762724842,4,441
76,0 days 00:00:09.406252,0.08958273499049095,6,448
77,0 days 00:00:10.696760,0.32251562230321307,6,566
78,0 days 00:00:02.418778,0.20087267477226414,3,209
79,0 days 00:00:02.760579,0.0472328948051825,3,261
80,0 days 00:00:09.006024,0.19837658462744828,3,937
81,0 days 00:00:05.748513,0.10073959113766875,4,347
82,0 days 00:00:12.137803,0.24856488534745702,6,584
83,0 days 00:00:06.134811,0.028226583970511237,5,305
84,0 days 00:00:05.139686,0.026986848521665663,3,601
85,0 days 00:00:03.371284,0.03651979147079504,3,259
86,0 days 00:00:14.570391,0.2920877653312809,4,986
87,0 days 00:00:06.079037,0.24611804499623208,6,262
88,0 days 00:00:06.134254,0.11432410690028211,6,281
89,0 days 00:00:05.534738,0.18832964969196322,4,405
90,0 days 00:00:06.415881,0.08147541836073716,3,619
91,0 days 00:00:03.766394,0.05065206523566416,4,255
92,0 days 00:00:03.262196,0.26169046684848346,3,391
93,0 days 00:00:10.410368,0.012687307658836501,5,471
94,0 days 00:00:06.444821,0.012018541649131614,5,290
95,0 days 00:00:10.214332,0.22906080788444436,5,710
96,0 days 00:00:10.478131,0.016493469583627834,5,705
97,0 days 00:00:08.326786,0.013497111446040749,4,647
98,0 days 00:00:11.306965,0.06335580400206108,6,785
99,0 days 00:00:11.120778,0.048672172491286886,5,974
