,acc,bal_acc,roc,eq_loss,eod,spd,min_tpr,max_tpr,mean_tpr
0,0.71,0.7452380952380953,0.8285714285714287,-0.10218525935557571,-0.0643729189789124,0.06190476190476191,0.6415094339622641,0.7058823529411765,0.6736958934517203
1,0.69,0.6166666666666667,0.7333333333333334,-0.09037219598720125,-0.06999999999999995,0.0625,0.78,0.85,0.815
2,0.7,0.719047619047619,0.7747619047619049,0.04809168386294371,-0.24,-0.26834969611968207,0.5,0.74,0.62
3,0.71,0.7166666666666666,0.7957142857142858,-0.020435573569577592,-0.012237762237762295,-0.07045840407470294,0.6923076923076923,0.7045454545454546,0.6984265734265734
4,0.71,0.7547619047619047,0.8376190476190476,0.05606216854260404,0.18162393162393164,0.08980213089802136,0.5961538461538461,0.7777777777777778,0.686965811965812
5,0.64,0.6761904761904762,0.7785714285714285,-0.10364554723565356,0.125,0.16130416130416125,0.5,0.625,0.5625
6,0.66,0.6714285714285715,0.7528571428571428,-0.09307095549218442,0.15000000000000002,0.10187110187110193,0.6,0.75,0.675
7,0.7,0.680952380952381,0.7619047619047619,-0.02328819485342315,0.23290598290598286,0.2404870624048706,0.5555555555555556,0.7884615384615384,0.6720085470085471
8,0.71,0.7547619047619047,0.8157142857142857,-0.014812516577513979,-0.15000000000000002,-0.08461898083216451,0.6,0.75,0.675
9,0.75,0.7166666666666667,0.8109523809523809,-0.0068006922558975225,0.0,-0.03599812996727447,0.8,0.8,0.8
